Timestamp,Power (mW),Bus Voltage (V),Load Voltage (V),Current (mA)
21.47.13.855,68.00,5.00,5.00,13.70
21.47.13.868,68.00,4.98,4.99,13.80
21.47.13.881,68.00,4.99,4.99,13.90
21.47.13.894,68.00,4.99,4.99,13.80
21.47.13.907,68.00,4.98,4.98,13.90
21.47.13.920,68.00,5.00,5.01,14.00
21.47.13.933,68.00,5.00,5.00,13.80
21.47.13.946,68.00,5.00,5.00,14.00
21.47.13.959,68.00,5.00,5.01,13.90
21.47.13.972,68.00,5.00,5.00,13.70
21.47.13.985,68.00,4.99,4.99,13.80
21.47.13.998,68.00,5.00,5.01,13.80
21.47.14.011,68.00,5.00,5.00,13.80
21.47.14.024,286.00,4.90,4.90,59.40
21.47.14.037,302.00,4.81,4.82,62.40
21.47.14.050,298.00,4.81,4.81,62.40
21.47.14.063,302.00,4.81,4.81,62.40
21.47.14.076,298.00,4.81,4.82,62.50
21.47.14.089,298.00,4.80,4.81,62.30
21.47.14.102,302.00,4.81,4.82,62.40
21.47.14.115,302.00,4.82,4.82,62.40
21.47.14.128,302.00,4.81,4.81,62.40
21.47.14.141,302.00,4.81,4.82,62.50
21.47.14.154,302.00,4.80,4.81,62.80
21.47.14.167,298.00,4.80,4.81,62.40
21.47.14.180,314.00,4.81,4.82,62.50
21.47.14.193,312.00,4.80,4.81,65.10
21.47.14.206,312.00,4.79,4.80,65.30
21.47.14.219,312.00,4.80,4.81,65.40
21.47.14.232,314.00,4.80,4.81,65.20
21.47.14.245,312.00,4.79,4.80,65.40
21.47.14.258,304.00,4.79,4.80,63.40
21.47.14.271,312.00,4.80,4.81,65.00
21.47.14.284,312.00,4.80,4.80,65.10
21.47.14.297,312.00,4.80,4.81,65.20
21.47.14.310,314.00,4.80,4.81,65.00
21.47.14.323,312.00,4.80,4.80,65.20
21.47.14.336,312.00,4.80,4.81,65.10
21.47.14.349,314.00,4.80,4.80,65.10
21.47.14.362,298.00,4.80,4.81,62.00
21.47.14.375,314.00,4.80,4.81,65.10
21.47.14.388,312.00,4.80,4.80,65.30
21.47.14.401,312.00,4.80,4.81,65.00
21.47.14.414,312.00,4.81,4.81,65.00
21.47.14.427,312.00,4.79,4.80,65.00
21.47.14.440,314.00,4.80,4.81,65.30
21.47.14.453,314.00,4.80,4.81,65.30
21.47.14.466,312.00,4.79,4.80,65.00
21.47.14.479,312.00,4.80,4.81,65.20
21.47.14.492,314.00,4.80,4.81,65.30
21.47.14.519,312.00,4.80,4.81,65.20
21.47.14.532,314.00,4.80,4.81,65.20
21.47.14.545,312.00,4.80,4.80,65.20
21.47.14.558,312.00,4.80,4.81,65.60
21.47.14.571,314.00,4.80,4.81,65.20
21.47.14.584,312.00,4.79,4.80,65.30
21.47.14.597,314.00,4.80,4.81,65.20
21.47.14.610,314.00,4.80,4.80,65.20
21.47.14.623,312.00,4.79,4.80,65.30
21.47.14.636,314.00,4.80,4.81,65.50
21.47.14.649,312.00,4.80,4.80,65.10
21.47.14.662,312.00,4.80,4.80,65.20
21.47.14.675,314.00,4.80,4.81,65.20
21.47.14.688,314.00,4.79,4.80,65.30
21.47.14.701,314.00,4.80,4.81,65.40
21.47.14.714,314.00,4.80,4.81,65.20
21.47.14.727,312.00,4.79,4.80,65.20
21.47.14.740,314.00,4.80,4.81,65.20
21.47.14.753,314.00,4.80,4.81,65.20
21.47.14.766,312.00,4.80,4.80,65.20
21.47.14.779,314.00,4.80,4.81,65.40
21.47.14.792,314.00,4.80,4.81,65.30
21.47.14.805,314.00,4.80,4.81,65.80
21.47.14.818,314.00,4.80,4.81,65.30
21.47.14.831,312.00,4.80,4.81,65.10
21.47.14.844,312.00,4.80,4.81,65.10
21.47.14.857,314.00,4.80,4.81,65.20
21.47.14.870,314.00,4.80,4.81,65.50
21.47.14.883,312.00,4.80,4.81,65.20
21.47.14.896,312.00,4.80,4.81,65.10
21.47.14.909,294.00,4.80,4.81,61.60
21.47.14.922,312.00,4.80,4.81,65.00
21.47.14.935,314.00,4.80,4.81,65.20
21.47.14.948,312.00,4.80,4.80,65.10
21.47.14.961,318.00,4.80,4.81,65.00
21.47.14.974,312.00,4.80,4.80,65.30
21.47.14.987,312.00,4.80,4.80,65.10
21.47.15.000,312.00,4.80,4.81,65.10
21.47.15.013,312.00,4.80,4.81,65.10
21.47.15.026,312.00,4.80,4.80,65.00
21.47.15.039,312.00,4.80,4.81,65.10
21.47.15.052,312.00,4.80,4.81,65.30
21.47.15.065,312.00,4.79,4.80,65.00
21.47.15.078,298.00,4.79,4.80,62.00
21.47.15.091,314.00,4.80,4.81,65.20
21.47.15.104,312.00,4.80,4.81,65.00
21.47.15.117,312.00,4.81,4.81,65.70
21.47.15.130,314.00,4.80,4.81,65.30
21.47.15.143,312.00,4.80,4.81,65.20
21.47.15.156,312.00,4.80,4.81,65.30
21.47.15.183,312.00,4.79,4.80,65.00
21.47.15.196,312.00,4.80,4.81,65.20
21.47.15.209,312.00,4.80,4.80,65.20
21.47.15.222,312.00,4.80,4.81,65.10
21.47.15.235,312.00,4.80,4.81,65.10
21.47.15.248,314.00,4.80,4.80,65.30
21.47.15.261,312.00,4.80,4.81,65.40
21.47.15.274,312.00,4.80,4.81,65.10
21.47.15.287,314.00,4.80,4.80,65.20
21.47.15.300,314.00,4.80,4.81,65.30
21.47.15.313,314.00,4.80,4.81,65.20
21.47.15.326,312.00,4.80,4.80,65.20
21.47.15.339,314.00,4.80,4.81,65.30
21.47.15.352,314.00,4.80,4.81,65.20
21.47.15.365,312.00,4.79,4.80,65.30
21.47.15.378,314.00,4.80,4.81,65.20
21.47.15.391,312.00,4.80,4.81,65.20
21.47.15.404,308.00,4.79,4.80,64.30
21.47.15.417,314.00,4.80,4.81,65.10
21.47.15.430,314.00,4.80,4.80,65.30
21.47.15.443,312.00,4.80,4.81,65.20
21.47.15.456,314.00,4.80,4.81,65.30
21.47.15.469,314.00,4.80,4.81,65.40
21.47.15.482,314.00,4.80,4.81,65.40
21.47.15.495,314.00,4.80,4.81,65.40
21.47.15.508,314.00,4.80,4.80,65.30
21.47.15.521,318.00,4.80,4.81,66.10
21.47.15.534,314.00,4.80,4.81,65.20
21.47.15.547,314.00,4.80,4.81,65.20
21.47.15.560,314.00,4.80,4.81,65.40
21.47.15.573,314.00,4.80,4.81,65.20
21.47.15.586,312.00,4.80,4.80,65.10
21.47.15.599,314.00,4.80,4.81,65.20
21.47.15.612,314.00,4.80,4.81,65.20
21.47.15.625,312.00,4.79,4.79,66.00
21.47.15.638,314.00,4.80,4.81,65.20
21.47.15.651,312.00,4.80,4.81,65.10
21.47.15.664,312.00,4.80,4.80,65.20
21.47.15.677,312.00,4.80,4.81,65.10
21.47.15.690,312.00,4.79,4.80,65.20
21.47.15.703,312.00,4.78,4.79,65.20
21.47.15.716,312.00,4.79,4.80,65.30
21.47.15.729,312.00,4.79,4.79,65.00
21.47.15.742,312.00,4.79,4.80,65.30
21.47.15.755,312.00,4.79,4.80,65.10
21.47.15.768,312.00,4.78,4.79,65.30
21.47.15.781,312.00,4.79,4.80,65.20
21.47.15.794,298.00,4.79,4.80,65.10
21.47.15.807,312.00,4.80,4.81,65.30
21.47.15.820,314.00,4.80,4.81,65.40
21.47.15.846,314.00,4.80,4.81,65.40
21.47.15.859,314.00,4.80,4.81,65.40
21.47.15.872,314.00,4.80,4.81,65.50
21.47.15.885,312.00,4.80,4.80,65.10
21.47.15.898,314.00,4.80,4.81,62.50
21.47.15.911,312.00,4.80,4.81,65.10
21.47.15.924,314.00,4.79,4.80,65.30
21.47.15.937,314.00,4.80,4.81,65.20
21.47.15.950,314.00,4.80,4.81,65.40
21.47.15.963,312.00,4.79,4.80,65.20
21.47.15.976,314.00,4.80,4.81,65.20
21.47.15.989,314.00,4.80,4.80,65.50
21.47.16.002,312.00,4.78,4.79,65.40
