Timestamp,Power (mW),Bus Voltage (V),Load Voltage (V),Current (mA)
23:36:28.657,86.00,5.00,5.00,17.50
23:36:28.671,86.00,5.00,5.01,17.30
23:36:28.684,88.00,5.00,5.01,17.50
23:36:28.697,88.00,5.00,5.00,17.60
23:36:28.710,88.00,5.00,5.01,17.50
23:36:28.723,88.00,5.01,5.01,17.60
23:36:28.736,88.00,5.00,5.00,17.40
23:36:28.749,88.00,5.00,5.01,17.50
23:36:28.762,86.00,5.00,5.01,17.30
23:36:28.775,88.00,5.00,5.00,17.70
23:36:28.788,88.00,5.00,5.01,17.30
23:36:28.801,88.00,5.00,5.00,17.50
23:36:28.814,88.00,5.00,5.01,17.20
23:36:28.827,88.00,5.00,5.01,17.50
23:36:28.840,88.00,5.00,5.00,17.40
23:36:28.853,88.00,5.00,5.01,17.20
23:36:28.866,88.00,5.01,5.01,17.60
23:36:28.879,88.00,5.00,5.00,17.50
23:36:28.892,86.00,5.00,5.01,17.50
23:36:28.905,86.00,5.01,5.01,17.20
23:36:28.918,88.00,5.00,5.00,17.50
23:36:28.931,88.00,5.00,5.01,17.30
23:36:28.944,88.00,5.00,5.01,17.50
23:36:28.957,88.00,5.00,5.00,17.40
23:36:28.970,88.00,5.00,5.01,17.50
23:36:28.983,86.00,5.00,5.01,17.30
23:36:28.996,88.00,5.00,5.00,17.40
23:36:29.009,88.00,5.00,5.01,17.60
23:36:29.022,88.00,5.00,5.01,17.40
23:36:29.035,88.00,5.00,5.00,17.30
23:36:29.048,88.00,5.01,5.01,17.40
23:36:29.061,86.00,5.00,5.00,17.20
23:36:29.074,88.00,5.00,5.00,17.50
23:36:29.087,86.00,5.00,5.00,17.30
23:36:29.100,86.00,5.00,5.00,17.70
23:36:29.113,88.00,5.00,5.01,17.40
23:36:29.126,88.00,5.01,5.01,17.60
23:36:29.139,88.00,5.00,5.00,17.40
23:36:29.152,86.00,5.00,5.01,17.20
23:36:29.165,86.00,5.00,5.01,17.30
23:36:29.178,88.00,5.00,5.00,17.60
23:36:29.191,88.00,5.00,5.00,17.60
23:36:29.204,88.00,5.00,5.01,17.60
23:36:29.217,88.00,5.00,5.00,17.50
23:36:29.230,86.00,5.01,5.01,17.30
23:36:29.243,88.00,5.00,5.01,17.30
23:36:29.256,86.00,5.00,5.00,17.50
23:36:29.269,88.00,5.01,5.01,17.60
23:36:29.282,88.00,5.00,5.01,17.40
23:36:29.295,88.00,4.99,4.99,17.40
23:36:29.323,88.00,5.00,5.00,17.40
23:36:29.336,86.00,5.00,5.00,17.30
23:36:29.349,86.00,5.00,5.01,17.40
23:36:29.362,88.00,5.00,5.01,17.60
23:36:29.375,88.00,5.00,5.01,17.50
23:36:29.388,88.00,5.00,5.01,17.30
23:36:29.401,88.00,5.00,5.00,17.50
23:36:29.414,86.00,5.00,5.01,17.30
23:36:29.427,88.00,5.00,5.01,17.30
23:36:29.440,88.00,5.00,5.00,17.40
23:36:29.453,86.00,5.00,5.01,17.30
23:36:29.466,88.00,5.00,5.01,17.20
23:36:29.479,88.00,5.00,5.00,17.50
23:36:29.492,88.00,5.01,5.01,17.70
23:36:29.505,88.00,4.99,4.99,17.50
23:36:29.518,88.00,4.98,4.99,17.70
23:36:29.531,88.00,5.00,5.00,17.30
23:36:29.544,88.00,5.00,5.00,17.60
23:36:29.557,88.00,4.99,4.99,17.50
23:36:29.570,86.00,5.00,5.00,17.50
23:36:29.583,86.00,5.00,5.01,17.30
23:36:29.596,86.00,5.00,5.00,17.30
23:36:29.609,86.00,5.00,5.01,17.50
23:36:29.622,88.00,5.00,5.01,17.50
23:36:29.635,88.00,5.00,5.00,17.40
23:36:29.648,88.00,5.00,5.01,17.60
23:36:29.661,88.00,5.00,5.01,17.50
23:36:29.674,88.00,5.00,5.00,17.60
23:36:29.687,88.00,5.00,5.01,17.40
23:36:29.700,86.00,5.00,5.00,17.20
23:36:29.848,86.00,5.00,5.00,17.40
23:36:29.861,88.00,5.00,5.00,17.60
23:36:29.874,86.00,4.99,4.99,17.30
23:36:29.887,86.00,4.99,4.99,17.30
23:36:29.900,88.00,5.01,5.01,17.40
23:36:29.913,88.00,5.00,5.00,17.40
23:36:29.926,88.00,5.00,5.01,17.40
23:36:29.939,88.00,5.00,5.00,17.50
23:36:29.952,88.00,5.00,5.00,17.30
23:36:29.965,88.00,5.01,5.01,17.40
23:36:29.978,88.00,5.00,5.01,17.60
23:36:29.991,88.00,5.00,5.00,17.60
23:36:30.004,88.00,5.00,5.01,17.50
23:36:30.017,88.00,5.00,5.01,17.40
23:36:30.030,88.00,5.00,5.00,17.40
23:36:30.043,88.00,5.00,5.00,17.70
23:36:30.056,86.00,5.00,5.01,17.30
23:36:30.069,88.00,5.00,5.00,17.30
23:36:30.082,88.00,5.01,5.01,17.40
23:36:30.095,86.00,5.00,5.00,17.40
23:36:30.123,88.00,5.01,5.01,17.60
23:36:30.136,88.00,5.00,5.00,17.70
23:36:30.149,88.00,5.01,5.01,17.70
23:36:30.162,88.00,5.00,5.01,17.40
23:36:30.175,88.00,5.00,5.00,17.50
23:36:30.188,86.00,5.01,5.01,17.20
23:36:30.201,88.00,5.00,5.01,17.50
23:36:30.214,88.00,5.00,5.00,17.40
23:36:30.227,86.00,5.01,5.01,17.30
23:36:30.240,88.00,5.00,5.01,17.50
23:36:30.253,88.00,5.00,5.00,17.50
23:36:30.266,88.00,5.01,5.01,17.40
23:36:30.279,86.00,5.00,5.01,17.50
23:36:30.292,88.00,5.00,5.00,17.50
23:36:30.305,88.00,5.00,5.01,17.60
23:36:30.318,88.00,5.00,5.01,17.50
23:36:30.331,88.00,5.00,5.00,17.40
23:36:30.344,88.00,5.01,5.01,17.60
23:36:30.357,88.00,5.00,5.01,17.60
23:36:30.370,88.00,5.00,5.00,17.70
23:36:30.383,86.00,5.00,5.01,17.70
23:36:30.396,88.00,5.00,5.00,17.40
23:36:30.409,88.00,5.00,5.01,18.00
23:36:30.422,88.00,5.00,5.01,17.50
23:36:30.435,88.00,5.00,5.00,17.60
23:36:30.448,86.00,5.00,5.01,17.30
23:36:30.461,88.00,5.00,5.01,17.30
23:36:30.474,88.00,5.00,5.00,17.50
23:36:30.487,88.00,5.00,5.01,17.40
