Timestamp,Power (mW),Bus Voltage (V),Load Voltage (V),Current (mA)
22:22:57.244,96.00,4.98,4.99,19.10
22:22:57.248,96.00,4.98,4.99,19.30
22:22:57.251,96.00,4.99,4.99,19.10
22:22:57.254,96.00,4.99,4.99,19.20
22:22:57.258,96.00,4.99,4.99,19.10
22:22:57.261,96.00,4.99,4.99,18.90
22:22:57.265,96.00,4.98,4.99,19.10
22:22:57.268,98.00,4.98,4.99,19.50
22:22:57.271,96.00,4.99,4.99,19.20
22:22:57.275,96.00,4.99,4.99,19.00
22:22:57.278,96.00,4.99,4.99,19.10
22:22:57.282,96.00,4.99,4.99,19.20
22:22:57.285,98.00,4.98,4.99,19.30
22:22:57.288,96.00,4.98,4.99,19.20
22:22:57.292,96.00,4.98,4.99,19.10
22:22:57.295,96.00,4.99,4.99,19.10
22:22:57.299,96.00,4.99,4.99,19.00
22:22:57.302,96.00,4.99,4.99,19.30
22:22:57.305,96.00,4.98,4.99,19.00
22:22:57.309,96.00,4.99,4.99,19.40
22:22:57.312,96.00,4.99,4.99,19.20
22:22:57.316,96.00,4.99,4.99,19.30
22:22:57.319,96.00,4.99,4.99,19.30
22:22:57.323,96.00,4.98,4.99,19.20
22:22:57.326,96.00,4.98,4.99,19.20
22:22:57.329,96.00,4.99,4.99,19.30
22:22:57.333,96.00,4.99,4.99,19.30
22:22:57.336,96.00,4.99,4.99,19.10
22:22:57.340,96.00,4.99,4.99,19.30
22:22:57.343,96.00,4.99,4.99,19.30
22:22:57.346,96.00,4.99,4.99,19.30
22:22:57.350,96.00,4.98,4.99,19.10
22:22:57.353,96.00,4.99,4.99,19.60
22:22:57.357,96.00,4.99,4.99,19.20
22:22:57.360,96.00,4.99,4.99,19.30
22:22:57.363,96.00,4.98,4.98,19.30
22:22:57.367,96.00,4.98,4.99,19.10
22:22:57.370,96.00,4.99,4.99,19.30
22:22:57.374,96.00,4.98,4.99,19.20
22:22:57.377,98.00,4.99,4.99,19.50
22:22:57.380,96.00,4.99,4.99,19.20
22:22:57.384,98.00,4.98,4.99,19.30
22:22:57.387,96.00,4.98,4.99,19.20
22:22:57.391,96.00,4.98,4.99,19.30
22:22:57.394,96.00,4.98,4.98,19.00
22:22:57.398,98.00,4.99,4.99,19.20
22:22:57.401,96.00,4.99,4.99,19.20
22:22:57.404,96.00,4.98,4.99,19.30
22:22:57.408,96.00,4.99,4.99,19.40
22:22:57.411,98.00,4.99,4.99,19.40
22:22:57.428,96.00,4.98,4.99,19.20
22:22:57.432,96.00,4.99,4.99,19.10
22:22:57.435,96.00,4.99,4.99,19.10
22:22:57.438,96.00,4.99,4.99,19.20
22:22:57.442,96.00,4.98,4.99,19.10
22:22:57.445,98.00,4.98,4.99,19.30
22:22:57.448,96.00,4.99,4.99,19.10
22:22:57.452,96.00,4.99,4.99,19.30
22:22:57.455,98.00,4.99,4.99,19.20
22:22:57.459,96.00,4.99,4.99,19.30
22:22:57.462,96.00,4.99,4.99,19.00
22:22:57.465,96.00,4.98,4.99,19.30
22:22:57.469,96.00,4.98,4.99,19.40
22:22:57.472,96.00,4.99,4.99,19.20
22:22:57.476,96.00,4.99,4.99,19.30
22:22:57.479,96.00,4.99,4.99,19.30
22:22:57.482,96.00,4.99,4.99,19.20
22:22:57.486,96.00,4.98,4.99,19.20
22:22:57.489,96.00,4.98,4.99,19.20
22:22:57.492,96.00,4.99,4.99,19.20
22:22:57.496,96.00,4.99,4.99,19.30
22:22:57.499,96.00,4.99,4.99,19.30
22:22:57.503,96.00,4.98,4.99,19.50
22:22:57.506,96.00,4.98,4.99,19.20
22:22:57.509,96.00,4.99,4.99,19.20
22:22:57.513,96.00,4.99,4.99,19.20
22:22:57.516,96.00,4.99,4.99,19.20
22:22:57.520,98.00,4.99,4.99,19.30
22:22:57.523,96.00,4.98,4.99,19.20
22:22:57.526,96.00,4.98,4.99,19.10
22:22:57.530,98.00,4.98,4.99,19.30
22:22:57.533,96.00,4.99,4.99,19.30
22:22:57.536,96.00,4.98,4.99,19.00
22:22:57.540,98.00,4.99,4.99,19.10
22:22:57.543,96.00,4.98,4.99,19.20
22:22:57.547,96.00,4.98,4.99,19.20
22:22:57.550,96.00,4.99,4.99,19.00
22:22:57.553,96.00,4.99,4.99,19.00
22:22:57.557,96.00,4.99,4.99,19.00
22:22:57.560,96.00,4.99,4.99,19.00
22:22:57.564,96.00,4.98,4.98,19.30
22:22:57.567,96.00,4.98,4.98,19.30
22:22:57.570,96.00,4.98,4.99,19.00
22:22:57.574,98.00,4.99,4.99,19.40
22:22:57.577,104.00,4.99,4.99,19.20
22:22:57.580,96.00,4.99,4.99,19.20
22:22:57.584,96.00,4.98,4.98,19.30
22:22:57.587,98.00,4.98,4.98,19.40
