Timestamp,Power (mW),Bus Voltage (V),Load Voltage (V),Current (mA)
00:07:47.421,82.00,4.97,4.97,16.80
00:07:47.434,86.00,4.96,4.97,16.90
00:07:47.447,86.00,4.95,4.95,17.00
00:07:47.460,86.00,4.96,4.97,17.00
00:07:47.473,86.00,4.96,4.96,16.60
00:07:47.486,86.00,4.96,4.97,17.10
00:07:47.499,86.00,4.98,4.98,16.90
00:07:47.512,86.00,4.97,4.97,17.40
00:07:47.525,86.00,4.97,4.97,16.90
00:07:47.538,86.00,4.97,4.97,16.90
00:07:47.551,86.00,4.97,4.97,16.90
00:07:47.564,86.00,4.98,4.98,17.40
00:07:47.577,82.00,4.97,4.97,17.00
00:07:47.590,82.00,4.96,4.97,16.70
00:07:47.603,86.00,4.97,4.97,17.00
00:07:47.616,82.00,4.97,4.97,16.60
00:07:47.629,86.00,4.96,4.97,17.10
00:07:47.642,86.00,4.97,4.97,16.90
00:07:47.655,86.00,4.97,4.97,16.90
00:07:47.668,82.00,4.97,4.97,16.70
00:07:47.681,86.00,4.97,4.97,16.60
00:07:47.694,86.00,4.97,4.97,16.80
00:07:47.707,86.00,4.97,4.97,16.90
00:07:47.720,82.00,4.97,4.97,17.00
00:07:47.733,86.00,4.97,4.97,17.00
00:07:47.746,86.00,4.97,4.97,17.00
00:07:47.759,86.00,4.97,4.97,16.90
00:07:47.772,82.00,4.97,4.97,16.80
00:07:47.785,82.00,4.96,4.97,16.70
00:07:47.798,86.00,4.97,4.97,16.80
00:07:47.811,86.00,4.97,4.97,17.40
00:07:47.824,82.00,4.97,4.97,16.90
00:07:47.837,86.00,4.97,4.97,17.20
00:07:47.850,86.00,4.97,4.97,16.90
00:07:47.863,86.00,4.97,4.97,17.00
00:07:47.876,86.00,4.97,4.97,16.90
00:07:47.889,82.00,4.97,4.97,16.70
00:07:47.902,86.00,4.97,4.97,16.90
00:07:47.915,86.00,4.98,4.98,16.90
00:07:47.928,86.00,4.96,4.96,16.90
00:07:47.941,86.00,4.97,4.97,17.00
00:07:47.954,82.00,4.98,4.98,16.80
00:07:47.967,86.00,4.96,4.97,16.90
00:07:47.980,82.00,4.97,4.97,16.80
00:07:47.993,86.00,4.97,4.97,17.30
00:07:48.006,86.00,4.96,4.97,17.00
00:07:48.019,86.00,4.97,4.97,16.90
00:07:48.032,86.00,4.96,4.96,17.00
00:07:48.045,86.00,4.96,4.97,16.90
00:07:48.058,86.00,4.98,4.98,16.90
00:07:48.086,86.00,4.97,4.97,16.80
00:07:48.099,86.00,4.98,4.98,17.00
00:07:48.112,82.00,4.97,4.97,16.90
