Timestamp,Power (mW),Bus Voltage (V),Load Voltage (V),Current (mA)
22:47:41.794,0.00,4.98,4.98,-0.40
22:47:41.797,0.00,4.99,4.99,-0.10
22:47:41.801,0.00,4.99,4.99,-0.30
22:47:41.804,0.00,4.99,4.99,-0.30
22:47:41.808,4.00,4.98,4.98,-0.40
22:47:41.811,0.00,4.99,4.99,-0.30
22:47:41.814,0.00,4.99,4.99,-0.30
22:47:41.818,0.00,4.99,4.99,0.00
22:47:41.821,0.00,4.99,4.99,-0.20
22:47:41.825,4.00,4.98,4.98,-0.30
22:47:41.828,0.00,4.99,4.99,-0.10
22:47:41.831,4.00,4.99,4.99,-0.50
22:47:41.835,0.00,4.99,4.99,-0.10
22:47:41.838,0.00,4.99,4.99,-0.30
22:47:41.842,0.00,4.98,4.98,-0.20
22:47:41.845,0.00,4.99,4.99,-0.20
22:47:41.848,0.00,4.98,4.98,-0.20
22:47:41.852,0.00,4.98,4.98,-0.10
22:47:41.855,0.00,4.99,4.99,-0.30
22:47:41.859,0.00,4.99,4.99,-0.10
22:47:41.862,0.00,4.99,4.99,-0.10
22:47:41.865,4.00,4.99,4.99,-0.40
22:47:41.869,0.00,4.98,4.98,-0.10
22:47:41.872,0.00,4.99,4.99,-0.30
22:47:41.876,0.00,5.00,5.00,-0.30
22:47:41.879,4.00,4.99,4.99,-0.20
22:47:41.882,0.00,5.00,5.00,-0.10
22:47:41.886,0.00,4.97,4.97,-0.10
22:47:41.889,0.00,4.98,4.98,-0.20
22:47:41.893,4.00,4.99,4.99,-0.30
22:47:41.896,0.00,4.99,4.99,-0.30
22:47:41.899,4.00,4.99,4.99,-0.40
22:47:41.903,4.00,4.99,4.99,-0.10
22:47:41.906,4.00,4.99,4.99,-0.40
22:47:41.910,0.00,4.98,4.98,-0.10
22:47:41.913,0.00,4.99,4.99,-0.10
22:47:41.916,4.00,5.00,5.00,-0.50
22:47:41.920,0.00,5.00,5.00,-0.10
22:47:41.923,0.00,4.99,4.99,-0.20
22:47:41.927,0.00,4.99,4.99,-0.10
22:47:41.930,0.00,4.97,4.97,-0.20
22:47:41.933,0.00,4.99,4.99,-0.30
22:47:41.937,0.00,4.99,4.99,-0.20
22:47:41.940,0.00,4.99,4.99,-0.10
22:47:41.944,0.00,4.99,4.99,0.00
22:47:41.947,0.00,4.98,4.98,-0.40
22:47:41.950,0.00,4.98,4.98,-0.10
22:47:41.954,4.00,4.99,4.99,-0.40
22:47:41.957,0.00,4.99,4.99,-0.10
22:47:41.961,0.00,5.00,5.00,-0.20
22:47:41.979,0.00,4.99,4.99,-0.10
22:47:41.982,0.00,4.99,4.99,-0.30
22:47:41.986,0.00,4.97,4.97,-0.30
22:47:41.989,0.00,4.98,4.98,-0.10
22:47:41.992,0.00,4.98,4.98,-0.40
22:47:41.996,0.00,4.99,4.99,-0.20
22:47:41.999,4.00,4.98,4.98,-0.80
22:47:42.003,0.00,4.99,4.99,-0.30
22:47:42.006,4.00,4.99,4.99,-0.40
22:47:42.009,0.00,4.97,4.97,-0.30
22:47:42.013,4.00,4.98,4.98,-0.50
