Timestamp,Power (mW),Bus Voltage (V),Load Voltage (V),Current (mA)
20:22:45.291,376.00,4.78,4.79,78.60
20:22:45.294,376.00,4.79,4.80,78.90
20:22:45.298,376.00,4.79,4.80,78.70
20:22:45.301,376.00,4.79,4.80,79.20
20:22:45.304,376.00,4.79,4.80,78.80
20:22:45.308,376.00,4.79,4.80,78.60
20:22:45.311,376.00,4.79,4.80,78.80
20:22:45.315,376.00,4.79,4.80,78.80
20:22:45.318,376.00,4.79,4.80,78.70
20:22:45.322,376.00,4.78,4.79,78.90
20:22:45.325,376.00,4.80,4.80,78.90
20:22:45.328,376.00,4.79,4.80,79.00
20:22:45.332,374.00,4.79,4.80,78.50
20:22:45.335,376.00,4.80,4.80,78.60
20:22:45.339,376.00,4.79,4.80,78.40
20:22:45.342,376.00,4.79,4.80,78.50
20:22:45.345,376.00,4.79,4.80,78.60
20:22:45.349,376.00,4.80,4.80,78.70
20:22:45.352,376.00,4.78,4.79,78.60
20:22:45.356,374.00,4.78,4.79,78.40
20:22:45.359,376.00,4.79,4.80,78.30
20:22:45.362,376.00,4.79,4.80,78.50
20:22:45.366,376.00,4.79,4.80,78.40
20:22:45.369,376.00,4.80,4.80,78.30
20:22:45.373,376.00,4.79,4.80,78.50
20:22:45.376,376.00,4.79,4.80,78.50
20:22:45.379,376.00,4.79,4.80,78.50
20:22:45.383,376.00,4.79,4.80,78.70
20:22:45.386,380.00,4.79,4.80,79.00
20:22:45.390,376.00,4.79,4.80,79.00
20:22:45.393,380.00,4.79,4.80,79.20
20:22:45.396,380.00,4.79,4.80,79.00
20:22:45.400,376.00,4.79,4.80,78.80
20:22:45.403,376.00,4.80,4.80,78.50
20:22:45.407,376.00,4.79,4.80,78.80
20:22:45.410,376.00,4.79,4.80,78.80
20:22:45.414,376.00,4.79,4.80,78.50
20:22:45.417,376.00,4.79,4.80,79.00
20:22:45.420,376.00,4.79,4.80,78.50
20:22:45.424,376.00,4.79,4.80,78.80
20:22:45.427,376.00,4.80,4.80,78.70
20:22:45.431,376.00,4.79,4.80,78.90
20:22:45.434,376.00,4.79,4.80,78.70
20:22:45.437,376.00,4.79,4.80,78.60
20:22:45.441,376.00,4.79,4.80,78.40
20:22:45.444,376.00,4.79,4.80,78.70
20:22:45.448,376.00,4.79,4.80,78.70
20:22:45.451,376.00,4.79,4.80,78.70
20:22:45.454,376.00,4.79,4.80,78.60
20:22:45.458,374.00,4.80,4.80,78.50
20:22:45.476,380.00,4.79,4.80,79.20
20:22:45.479,376.00,4.79,4.80,78.90
20:22:45.483,380.00,4.79,4.80,79.10
20:22:45.486,380.00,4.79,4.80,79.00
20:22:45.489,376.00,4.79,4.80,79.10
20:22:45.493,376.00,4.79,4.80,78.80
20:22:45.496,380.00,4.79,4.80,79.10
20:22:45.500,376.00,4.79,4.80,78.60
20:22:45.503,376.00,4.79,4.80,78.20
20:22:45.506,376.00,4.79,4.80,78.70
20:22:45.510,376.00,4.79,4.80,78.90
