Timestamp,Power (mW),Bus Voltage (V),Load Voltage (V),Current (mA)
22:28:32.434,96.00,4.96,4.96,19.10
22:28:32.437,96.00,4.96,4.97,19.20
22:28:32.441,96.00,4.96,4.96,18.90
22:28:32.444,96.00,4.96,4.96,19.10
22:28:32.448,96.00,4.96,4.96,19.10
22:28:32.451,96.00,4.96,4.96,19.10
22:28:32.454,96.00,4.96,4.97,19.10
22:28:32.458,92.00,4.97,4.97,19.00
22:28:32.461,96.00,4.97,4.97,19.10
22:28:32.465,96.00,4.96,4.97,19.00
22:28:32.468,96.00,4.96,4.96,18.90
22:28:32.471,96.00,4.95,4.95,19.30
22:28:32.475,96.00,4.95,4.95,19.30
22:28:32.478,96.00,4.96,4.97,19.20
22:28:32.482,96.00,4.97,4.97,19.20
22:28:32.485,98.00,4.96,4.97,19.60
22:28:32.488,96.00,4.96,4.96,19.10
22:28:32.492,96.00,4.96,4.96,19.20
22:28:32.495,96.00,4.96,4.97,19.00
22:28:32.499,96.00,4.96,4.97,19.10
22:28:32.502,96.00,4.97,4.97,18.90
22:28:32.505,96.00,4.97,4.97,19.20
22:28:32.509,96.00,4.96,4.96,19.10
22:28:32.512,96.00,4.96,4.96,19.00
22:28:32.516,96.00,4.97,4.97,19.00
22:28:32.519,96.00,4.96,4.97,18.90
22:28:32.523,96.00,4.96,4.97,19.30
22:28:32.526,96.00,4.97,4.97,19.00
22:28:32.529,96.00,4.96,4.96,19.00
22:28:32.533,96.00,4.96,4.96,19.20
22:28:32.536,96.00,4.97,4.97,18.90
22:28:32.540,96.00,4.96,4.97,19.20
22:28:32.543,92.00,4.96,4.97,19.10
22:28:32.546,96.00,4.96,4.96,19.30
22:28:32.550,96.00,4.96,4.97,18.90
22:28:32.553,96.00,4.96,4.96,19.20
22:28:32.557,96.00,4.96,4.97,19.10
22:28:32.560,96.00,4.96,4.97,19.20
22:28:32.563,96.00,4.96,4.96,19.00
22:28:32.567,96.00,4.96,4.96,19.00
22:28:32.570,96.00,4.96,4.96,19.10
22:28:32.574,96.00,4.96,4.97,19.10
22:28:32.577,96.00,4.96,4.97,19.10
22:28:32.580,96.00,4.97,4.97,19.10
22:28:32.584,96.00,4.96,4.96,19.00
22:28:32.587,96.00,4.96,4.96,19.10
22:28:32.591,96.00,4.96,4.97,18.90
22:28:32.594,96.00,4.96,4.97,19.10
22:28:32.597,96.00,4.96,4.97,19.30
22:28:32.601,96.00,4.96,4.97,19.10
22:28:32.618,96.00,4.97,4.97,19.00
22:28:32.621,96.00,4.96,4.97,19.00
22:28:32.625,96.00,4.97,4.97,18.90
22:28:32.628,96.00,4.96,4.96,18.90
22:28:32.631,96.00,4.96,4.96,19.30
22:28:32.635,96.00,4.96,4.96,19.30
22:28:32.638,96.00,4.97,4.97,19.20
22:28:32.642,96.00,4.96,4.97,18.90
22:28:32.645,96.00,4.96,4.97,19.00
22:28:32.648,96.00,4.96,4.96,19.00
22:28:32.652,96.00,4.96,4.96,19.00
22:28:32.655,96.00,4.96,4.96,18.90
22:28:32.658,96.00,4.97,4.97,18.90
22:28:32.662,96.00,4.97,4.97,19.20
22:28:32.665,96.00,4.96,4.97,19.10
22:28:32.669,92.00,4.96,4.96,19.20
22:28:32.672,96.00,4.96,4.96,19.10
22:28:32.675,96.00,4.96,4.96,19.20
22:28:32.679,96.00,4.95,4.95,19.10
22:28:32.682,96.00,4.97,4.97,19.00
22:28:32.686,96.00,4.96,4.97,18.90
22:28:32.689,96.00,4.96,4.96,19.10
22:28:32.692,96.00,4.96,4.96,19.10
22:28:32.696,96.00,4.97,4.97,19.00
22:28:32.699,96.00,4.96,4.96,19.10
22:28:32.703,96.00,4.96,4.97,19.20
22:28:32.706,96.00,4.96,4.97,18.90
22:28:32.709,96.00,4.96,4.96,18.90
22:28:32.713,96.00,4.96,4.96,19.10
22:28:32.716,96.00,4.96,4.96,19.00
22:28:32.719,96.00,4.97,4.97,19.10
22:28:32.723,96.00,4.96,4.96,19.20
22:28:32.726,96.00,4.96,4.96,19.10
22:28:32.730,96.00,4.96,4.97,18.90
22:28:32.733,96.00,4.96,4.96,18.90
22:28:32.736,96.00,4.96,4.97,19.20
22:28:32.740,96.00,4.96,4.96,19.00
22:28:32.743,96.00,4.96,4.97,19.00
22:28:32.747,96.00,4.96,4.96,19.20
22:28:32.750,98.00,4.96,4.96,19.10
22:28:32.753,96.00,4.96,4.97,19.20
22:28:32.757,96.00,4.96,4.96,19.40
22:28:32.760,96.00,4.96,4.97,19.30
22:28:32.763,96.00,4.96,4.97,19.20
