Timestamp,Power (mW),Bus Voltage (V),Load Voltage (V),Current (mA)
22:41:08.899,360.00,4.78,4.79,75.00
22:41:08.903,358.00,4.79,4.80,74.60
22:41:08.906,360.00,4.79,4.80,75.00
22:41:08.910,358.00,4.78,4.79,74.30
22:41:08.913,358.00,4.78,4.79,74.60
22:41:08.917,358.00,4.78,4.79,74.70
22:41:08.920,358.00,4.79,4.80,74.50
22:41:08.923,358.00,4.79,4.80,74.70
22:41:08.927,358.00,4.79,4.80,74.60
22:41:08.930,358.00,4.78,4.79,74.50
22:41:08.934,358.00,4.78,4.79,74.30
22:41:08.937,358.00,4.79,4.80,74.90
22:41:08.940,358.00,4.79,4.80,74.40
22:41:08.944,358.00,4.79,4.80,75.00
22:41:08.947,360.00,4.79,4.80,74.50
22:41:08.951,358.00,4.78,4.79,74.80
22:41:08.954,358.00,4.78,4.79,74.70
22:41:08.958,360.00,4.78,4.79,74.80
22:41:08.961,360.00,4.79,4.80,75.10
22:41:08.964,360.00,4.79,4.80,75.20
22:41:08.968,358.00,4.79,4.80,74.70
22:41:08.971,358.00,4.79,4.80,74.40
22:41:08.975,360.00,4.78,4.79,75.30
22:41:08.978,360.00,4.78,4.79,74.80
22:41:08.981,404.00,4.53,4.55,84.60
22:41:08.985,364.00,4.78,4.79,76.20
22:41:08.988,368.00,4.77,4.78,76.90
22:41:08.992,364.00,4.77,4.78,76.70
22:41:08.995,370.00,4.77,4.78,77.50
22:41:08.998,374.00,4.77,4.78,78.30
22:41:09.002,368.00,4.78,4.79,77.30
22:41:09.005,370.00,4.78,4.79,77.30
22:41:09.009,374.00,4.78,4.78,78.00
22:41:09.012,374.00,4.77,4.78,78.10
22:41:09.015,370.00,4.77,4.78,77.50
22:41:09.019,374.00,4.78,4.79,78.40
22:41:09.022,380.00,4.77,4.78,79.90
22:41:09.026,380.00,4.77,4.78,79.90
22:41:09.029,380.00,4.78,4.78,79.60
22:41:09.033,358.00,4.78,4.79,74.80
22:41:09.036,360.00,4.78,4.79,75.00
22:41:09.039,360.00,4.79,4.80,75.10
22:41:09.043,358.00,4.79,4.80,74.90
22:41:09.046,358.00,4.79,4.80,74.10
22:41:09.050,358.00,4.79,4.80,74.50
22:41:09.053,360.00,4.78,4.79,75.50
22:41:09.056,360.00,4.78,4.79,75.20
22:41:09.060,358.00,4.79,4.80,74.80
22:41:09.063,358.00,4.79,4.80,74.80
22:41:09.067,358.00,4.79,4.80,74.70
22:41:09.084,360.00,4.79,4.80,75.00
22:41:09.087,358.00,4.79,4.80,74.70
22:41:09.091,354.00,4.78,4.78,74.40
22:41:09.094,358.00,4.77,4.78,74.50
22:41:09.097,358.00,4.78,4.79,75.10
22:41:09.101,360.00,4.78,4.79,76.00
22:41:09.104,360.00,4.79,4.80,75.00
22:41:09.108,358.00,4.79,4.80,74.50
22:41:09.111,358.00,4.78,4.79,74.40
22:41:09.114,358.00,4.78,4.79,74.70
22:41:09.118,360.00,4.79,4.80,75.10
22:41:09.121,358.00,4.79,4.80,75.00
22:41:09.125,358.00,4.79,4.80,74.70
22:41:09.128,358.00,4.79,4.80,74.70
22:41:09.131,858.00,4.56,4.57,187.30
22:41:09.135,364.00,4.76,4.77,77.80
22:41:09.138,360.00,4.78,4.79,75.50
22:41:09.141,368.00,4.78,4.79,76.60
22:41:09.145,368.00,4.78,4.79,76.70
22:41:09.148,370.00,4.78,4.79,77.50
22:41:09.152,368.00,4.77,4.78,77.10
22:41:09.155,370.00,4.77,4.78,77.70
22:41:09.158,370.00,4.78,4.78,77.30
22:41:09.162,368.00,4.78,4.79,76.70
22:41:09.165,368.00,4.78,4.79,77.10
22:41:09.169,368.00,4.78,4.79,77.00
22:41:09.172,380.00,4.76,4.77,79.40
22:41:09.175,384.00,4.77,4.78,80.30
22:41:09.179,384.00,4.77,4.78,80.00
22:41:09.182,364.00,4.78,4.78,76.40
22:41:09.185,358.00,4.79,4.80,74.70
22:41:09.189,354.00,4.79,4.80,73.90
22:41:09.192,358.00,4.78,4.79,74.40
22:41:09.196,358.00,4.78,4.79,74.70
22:41:09.199,358.00,4.79,4.80,74.80
22:41:09.202,358.00,4.79,4.80,74.80
22:41:09.206,360.00,4.79,4.80,75.20
22:41:09.209,358.00,4.79,4.80,75.10
22:41:09.213,358.00,4.78,4.79,74.50
22:41:09.216,358.00,4.78,4.79,74.60
22:41:09.219,358.00,4.79,4.80,74.60
22:41:09.223,358.00,4.79,4.80,74.80
22:41:09.226,360.00,4.79,4.80,75.20
22:41:09.229,358.00,4.79,4.80,74.30
22:41:09.233,354.00,4.78,4.79,74.00
22:41:09.236,360.00,4.78,4.79,75.40
22:41:09.240,364.00,4.78,4.79,75.70
22:41:09.243,360.00,4.79,4.80,75.20
22:41:09.246,360.00,4.79,4.80,75.40
22:41:09.250,358.00,4.79,4.80,75.00
22:41:09.267,360.00,4.79,4.80,75.30
22:41:09.270,358.00,4.78,4.79,75.00
22:41:09.273,360.00,4.78,4.79,75.20
22:41:09.277,360.00,4.78,4.79,75.20
22:41:09.280,358.00,4.78,4.79,74.90
22:41:09.284,512.00,4.68,4.68,107.80
22:41:09.287,364.00,4.78,4.79,76.20
22:41:09.290,370.00,4.77,4.78,77.20
22:41:09.294,364.00,4.77,4.78,76.60
22:41:09.297,370.00,4.77,4.78,77.70
22:41:09.301,370.00,4.77,4.78,77.70
22:41:09.304,374.00,4.78,4.79,77.50
22:41:09.307,370.00,4.78,4.79,77.70
22:41:09.311,370.00,4.77,4.78,77.70
22:41:09.314,374.00,4.77,4.78,77.90
22:41:09.317,370.00,4.78,4.78,77.70
22:41:09.321,370.00,4.78,4.79,77.50
22:41:09.324,384.00,4.77,4.78,80.30
22:41:09.328,384.00,4.77,4.78,80.20
22:41:09.331,384.00,4.76,4.77,80.30
22:41:09.334,360.00,4.78,4.78,75.50
22:41:09.338,360.00,4.78,4.79,75.30
22:41:09.341,360.00,4.79,4.80,75.00
22:41:09.345,358.00,4.79,4.80,74.60
22:41:09.348,358.00,4.79,4.80,74.60
22:41:09.351,354.00,4.78,4.79,74.50
22:41:09.355,360.00,4.78,4.79,75.20
22:41:09.358,358.00,4.79,4.80,74.80
22:41:09.361,360.00,4.78,4.79,75.20
22:41:09.365,360.00,4.79,4.80,75.20
22:41:09.368,358.00,4.79,4.80,74.40
22:41:09.372,354.00,4.78,4.79,74.20
22:41:09.375,360.00,4.78,4.79,74.60
22:41:09.378,364.00,4.78,4.79,75.80
22:41:09.382,358.00,4.78,4.79,74.70
22:41:09.385,358.00,4.79,4.80,75.00
22:41:09.389,354.00,4.79,4.80,74.80
22:41:09.392,358.00,4.78,4.79,74.90
22:41:09.395,360.00,4.78,4.79,75.10
22:41:09.399,358.00,4.78,4.79,74.60
22:41:09.402,370.00,4.78,4.79,77.80
22:41:09.406,358.00,4.79,4.80,74.70
22:41:09.409,358.00,4.78,4.79,74.70
22:41:09.412,360.00,4.78,4.79,75.10
22:41:09.416,360.00,4.78,4.79,75.10
22:41:09.419,358.00,4.79,4.80,74.80
22:41:09.422,358.00,4.79,4.80,74.60
22:41:09.426,358.00,4.79,4.80,74.90
22:41:09.429,358.00,4.79,4.80,74.80
22:41:09.433,430.00,4.78,4.79,74.90
22:41:09.448,368.00,4.78,4.79,77.50
22:41:09.452,368.00,4.78,4.78,77.10
22:41:09.455,374.00,4.77,4.78,78.00
22:41:09.459,370.00,4.78,4.79,77.70
22:41:09.462,370.00,4.78,4.79,77.50
22:41:09.465,370.00,4.78,4.78,77.60
22:41:09.469,368.00,4.78,4.78,77.10
22:41:09.472,368.00,4.77,4.78,77.10
22:41:09.475,384.00,4.76,4.77,80.60
22:41:09.479,384.00,4.77,4.78,80.60
22:41:09.482,380.00,4.77,4.78,80.00
22:41:09.486,360.00,4.78,4.79,75.10
22:41:09.489,358.00,4.79,4.80,74.40
22:41:09.492,360.00,4.78,4.78,75.70
22:41:09.496,358.00,4.78,4.79,75.00
22:41:09.499,360.00,4.78,4.79,75.10
22:41:09.503,360.00,4.79,4.80,75.20
22:41:09.506,358.00,4.79,4.80,74.60
22:41:09.509,354.00,4.79,4.80,74.30
22:41:09.513,358.00,4.78,4.79,74.70
22:41:09.516,358.00,4.78,4.79,75.10
22:41:09.519,360.00,4.79,4.80,75.00
22:41:09.523,360.00,4.79,4.80,75.10
22:41:09.526,360.00,4.79,4.80,74.90
