Timestamp,Power (mW),Bus Voltage (V),Load Voltage (V),Current (mA)
12:19:27.635,92.00,4.97,4.97,18.40
12:19:27.638,92.00,4.97,4.97,18.50
12:19:27.642,92.00,4.97,4.97,18.30
12:19:27.645,92.00,4.97,4.97,18.20
12:19:27.648,92.00,4.97,4.97,18.50
12:19:27.652,92.00,4.97,4.97,18.20
12:19:27.655,88.00,4.97,4.97,18.00
12:19:27.659,92.00,4.97,4.97,18.20
12:19:27.662,92.00,4.97,4.97,18.40
12:19:27.666,92.00,4.97,4.97,18.30
12:19:27.669,92.00,4.97,4.97,18.50
12:19:27.672,88.00,4.97,4.97,18.20
12:19:27.676,92.00,4.97,4.97,18.20
12:19:27.679,92.00,4.97,4.97,18.30
12:19:27.683,92.00,4.97,4.97,18.50
12:19:27.686,92.00,4.97,4.97,18.50
12:19:27.689,92.00,4.97,4.97,18.40
12:19:27.693,88.00,4.97,4.97,18.10
12:19:27.696,92.00,4.97,4.97,18.20
12:19:27.700,92.00,4.97,4.97,18.30
12:19:27.703,88.00,4.97,4.97,18.10
12:19:27.706,96.00,4.97,4.97,18.20
12:19:27.710,92.00,4.98,4.98,18.20
12:19:27.713,92.00,4.97,4.97,18.20
12:19:27.717,92.00,4.97,4.97,18.30
12:19:27.720,92.00,4.97,4.97,18.20
12:19:27.723,88.00,4.97,4.97,18.00
12:19:27.727,92.00,4.97,4.97,18.30
12:19:27.730,92.00,4.97,4.97,18.20
12:19:27.734,92.00,4.97,4.97,18.20
12:19:27.737,88.00,4.97,4.97,18.00
12:19:27.740,92.00,4.97,4.97,18.50
12:19:27.744,88.00,4.97,4.97,18.00
12:19:27.747,88.00,4.97,4.97,18.00
12:19:27.751,92.00,4.97,4.97,18.30
12:19:27.754,92.00,4.97,4.97,18.60
12:19:27.757,92.00,4.97,4.97,18.40
12:19:27.761,92.00,4.97,4.97,18.20
12:19:27.764,92.00,4.97,4.97,18.30
12:19:27.768,92.00,4.97,4.97,18.30
12:19:27.771,92.00,4.97,4.97,18.40
12:19:27.775,92.00,4.97,4.97,18.30
12:19:27.778,92.00,4.97,4.97,18.20
12:19:27.781,92.00,4.97,4.97,18.40
12:19:27.785,92.00,4.97,4.97,18.30
12:19:27.788,92.00,4.97,4.97,18.30
12:19:27.792,92.00,4.97,4.97,18.40
12:19:27.795,92.00,4.97,4.97,18.20
12:19:27.798,92.00,4.97,4.97,18.30
12:19:27.802,92.00,4.97,4.97,18.30
12:19:27.820,92.00,4.96,4.97,18.30
12:19:27.823,92.00,4.96,4.96,18.40
12:19:27.827,88.00,4.97,4.97,18.20
12:19:27.830,92.00,4.97,4.97,18.20
12:19:27.834,92.00,4.97,4.97,18.30
12:19:27.837,88.00,4.97,4.97,18.30
12:19:27.840,96.00,4.97,4.97,18.20
12:19:27.844,92.00,4.97,4.97,18.40
12:19:27.847,92.00,4.97,4.97,18.40
12:19:27.851,92.00,4.97,4.97,18.50
12:19:27.854,92.00,4.97,4.97,18.50
12:19:27.857,92.00,4.97,4.97,18.30
12:19:27.861,92.00,4.97,4.97,18.30
12:19:27.864,92.00,4.97,4.97,18.50
12:19:27.867,92.00,4.97,4.97,18.40
12:19:27.871,88.00,4.97,4.97,18.00
12:19:27.874,92.00,4.97,4.97,18.30
12:19:27.878,92.00,4.97,4.97,18.30
12:19:27.881,92.00,4.97,4.97,18.40
12:19:27.884,92.00,4.97,4.97,18.30
12:19:27.888,92.00,4.97,4.97,18.50
12:19:27.891,92.00,4.97,4.97,18.50
12:19:27.895,92.00,4.97,4.97,18.20
12:19:27.898,92.00,4.97,4.97,18.40
12:19:27.901,92.00,4.97,4.97,18.40
12:19:27.905,92.00,4.97,4.97,18.40
12:19:27.908,92.00,4.97,4.97,18.30
12:19:27.911,88.00,4.97,4.97,18.00
12:19:27.915,92.00,4.97,4.97,18.40
12:19:27.918,88.00,4.97,4.97,18.40
12:19:27.922,92.00,4.97,4.97,18.30
12:19:27.925,92.00,4.97,4.97,18.60
12:19:27.928,92.00,4.97,4.97,18.50
12:19:27.932,92.00,4.97,4.97,18.20
12:19:27.935,92.00,4.97,4.97,18.20
12:19:27.939,88.00,4.97,4.97,18.00
12:19:27.942,92.00,4.97,4.97,18.30
12:19:27.945,92.00,4.97,4.97,18.30
12:19:27.949,92.00,4.97,4.97,18.60
12:19:27.952,92.00,4.97,4.97,18.40
12:19:27.955,92.00,4.97,4.97,18.50
12:19:27.959,88.00,4.97,4.97,18.00
12:19:27.962,92.00,4.97,4.97,18.50
12:19:27.966,92.00,4.97,4.97,18.20
12:19:27.969,92.00,4.97,4.97,18.20
12:19:27.972,92.00,4.97,4.97,18.50
12:19:27.976,88.00,4.97,4.97,18.00
12:19:27.979,92.00,4.97,4.97,18.40
12:19:27.983,88.00,4.97,4.97,17.90
12:19:27.986,92.00,4.97,4.97,18.20
12:19:28.004,92.00,4.96,4.96,18.20
12:19:28.007,92.00,4.96,4.96,18.60
12:19:28.010,92.00,4.96,4.96,18.20
12:19:28.014,92.00,4.96,4.96,18.30
12:19:28.017,92.00,4.96,4.96,18.30
12:19:28.021,92.00,4.96,4.96,18.40
12:19:28.024,92.00,4.96,4.96,18.20
12:19:28.027,88.00,4.96,4.96,18.20
12:19:28.031,92.00,4.96,4.96,18.20
