Timestamp,Power (mW),Bus Voltage (V),Load Voltage (V),Current (mA)
22:50:34.239,82.00,4.98,4.99,16.40
22:50:34.252,82.00,4.98,4.98,16.60
22:50:34.265,86.00,4.98,4.99,16.70
22:50:34.278,86.00,4.99,4.99,16.90
22:50:34.291,82.00,4.98,4.98,16.70
22:50:34.304,82.00,4.98,4.99,16.90
22:50:34.317,82.00,4.99,4.99,16.80
22:50:34.330,86.00,4.98,4.98,16.60
22:50:34.343,82.00,4.99,4.99,16.60
22:50:34.356,82.00,4.98,4.99,16.70
22:50:34.369,86.00,4.98,4.98,16.90
22:50:34.382,86.00,4.98,4.99,16.80
22:50:34.395,86.00,4.98,4.99,16.80
22:50:34.408,82.00,4.98,4.98,16.80
22:50:34.421,82.00,4.98,4.98,16.70
22:50:34.434,86.00,4.98,4.98,16.80
22:50:34.447,82.00,4.98,4.99,16.50
22:50:34.460,82.00,4.99,4.99,16.70
22:50:34.473,82.00,4.98,4.98,17.00
22:50:34.486,86.00,4.99,4.99,16.60
22:50:34.499,86.00,4.99,4.99,17.00
22:50:34.512,82.00,4.98,4.98,16.50
22:50:34.525,82.00,4.98,4.98,16.60
22:50:34.538,86.00,4.99,4.99,16.80
22:50:34.551,82.00,4.98,4.98,16.50
22:50:34.564,82.00,4.99,4.99,16.50
22:50:34.577,86.00,4.99,4.99,16.90
22:50:34.590,86.00,4.98,4.98,16.50
22:50:34.603,86.00,4.99,4.99,17.00
22:50:34.616,86.00,4.99,4.99,16.90
22:50:34.629,82.00,4.97,4.97,16.80
22:50:34.642,82.00,4.98,4.98,16.70
22:50:34.655,82.00,4.97,4.97,16.60
22:50:34.668,328.00,4.76,4.77,69.00
22:50:34.681,328.00,4.77,4.77,68.80
22:50:34.694,328.00,4.76,4.77,68.90
22:50:34.707,328.00,4.77,4.77,68.90
22:50:34.720,328.00,4.77,4.77,69.00
22:50:34.733,330.00,4.77,4.78,69.10
22:50:34.746,330.00,4.78,4.78,69.60
22:50:34.759,328.00,4.78,4.78,68.80
22:50:34.772,340.00,4.74,4.75,71.30
22:50:34.785,328.00,4.78,4.79,68.90
22:50:34.798,330.00,4.78,4.79,69.20
