Timestamp,Power (mW),Bus Voltage (V),Load Voltage (V),Current (mA)
12:04:40.429,334.00,4.54,4.55,73.00
12:04:40.433,330.00,4.54,4.55,72.80
12:04:40.436,104.00,4.68,4.69,39.40
12:04:40.439,102.00,4.89,4.89,20.90
12:04:40.443,102.00,4.89,4.89,21.10
12:04:40.446,102.00,4.88,4.89,20.80
12:04:40.450,102.00,4.88,4.89,20.80
12:04:40.453,102.00,4.89,4.89,20.80
12:04:40.456,102.00,4.88,4.88,20.90
12:04:40.460,102.00,4.88,4.89,20.70
12:04:40.463,102.00,4.89,4.89,21.00
12:04:40.467,102.00,4.88,4.89,20.80
12:04:40.470,102.00,4.88,4.89,21.00
12:04:40.474,114.00,4.87,4.87,23.50
12:04:40.477,114.00,4.87,4.87,23.60
12:04:40.480,114.00,4.86,4.87,23.80
12:04:40.484,88.00,4.90,4.90,18.50
12:04:40.487,88.00,4.90,4.91,18.30
12:04:40.491,92.00,4.90,4.90,18.50
12:04:40.494,92.00,4.90,4.91,18.30
12:04:40.497,92.00,4.91,4.91,18.40
12:04:40.501,92.00,4.90,4.90,18.40
12:04:40.504,88.00,4.90,4.91,18.20
12:04:40.508,88.00,4.90,4.91,18.20
12:04:40.511,88.00,4.90,4.90,18.10
12:04:40.514,88.00,4.90,4.90,18.30
12:04:40.518,88.00,4.90,4.91,18.10
12:04:40.521,88.00,4.90,4.90,18.20
12:04:40.525,88.00,4.90,4.90,18.40
12:04:40.528,92.00,4.90,4.91,18.30
12:04:40.531,92.00,4.90,4.91,18.40
12:04:40.535,92.00,4.90,4.90,18.40
12:04:40.538,92.00,4.90,4.90,18.20
12:04:40.542,92.00,4.90,4.91,18.50
12:04:40.545,88.00,4.90,4.90,18.20
12:04:40.548,92.00,4.90,4.91,18.20
12:04:40.552,88.00,4.91,4.91,18.30
12:04:40.555,88.00,4.90,4.90,18.30
12:04:40.559,88.00,4.90,4.90,18.30
12:04:40.562,92.00,4.91,4.91,18.40
12:04:40.565,92.00,4.90,4.91,18.40
12:04:40.569,92.00,4.90,4.90,18.60
12:04:40.572,88.00,4.90,4.90,18.30
12:04:40.576,92.00,4.90,4.91,18.40
12:04:40.579,88.00,4.90,4.90,18.30
12:04:40.582,92.00,4.90,4.90,18.20
12:04:40.586,88.00,4.90,4.91,18.40
12:04:40.589,88.00,4.90,4.90,18.30
12:04:40.593,88.00,4.90,4.90,18.10
12:04:40.596,92.00,4.90,4.91,18.60
12:04:40.614,88.00,4.90,4.90,18.40
12:04:40.618,88.00,4.90,4.91,18.40
12:04:40.621,88.00,4.90,4.90,18.40
12:04:40.624,92.00,4.89,4.89,18.60
12:04:40.628,88.00,4.90,4.90,18.20
12:04:40.631,88.00,4.90,4.90,18.20
12:04:40.635,88.00,4.89,4.89,18.30
12:04:40.638,88.00,4.90,4.90,18.30
12:04:40.641,88.00,4.90,4.91,18.30
12:04:40.645,88.00,4.90,4.90,18.10
12:04:40.648,92.00,4.90,4.90,18.30
12:04:40.652,88.00,4.90,4.91,18.30
12:04:40.655,92.00,4.90,4.90,18.50
12:04:40.658,88.00,4.89,4.89,18.30
12:04:40.662,92.00,4.90,4.90,18.30
12:04:40.665,88.00,4.90,4.91,18.10
12:04:40.668,88.00,4.89,4.89,18.30
12:04:40.672,92.00,4.89,4.89,18.30
12:04:40.675,92.00,4.90,4.90,18.50
12:04:40.679,88.00,4.90,4.91,18.30
12:04:40.682,92.00,4.89,4.89,18.50
12:04:40.685,88.00,4.90,4.90,18.30
12:04:40.689,88.00,4.90,4.90,18.30
12:04:40.692,88.00,4.90,4.90,18.30
12:04:40.696,88.00,4.90,4.90,18.40
12:04:40.699,88.00,4.90,4.90,18.40
12:04:40.702,88.00,4.90,4.90,18.40
12:04:40.706,88.00,4.90,4.90,18.10
12:04:40.709,88.00,4.89,4.89,18.20
12:04:40.712,88.00,4.90,4.90,18.40
12:04:40.716,88.00,4.89,4.89,18.40
12:04:40.719,88.00,4.89,4.89,18.30
12:04:40.723,88.00,4.90,4.90,18.00
12:04:40.726,88.00,4.90,4.90,18.40
12:04:40.729,88.00,4.89,4.89,18.30
12:04:40.733,88.00,4.89,4.89,18.30
12:04:40.736,88.00,4.90,4.90,18.20
12:04:40.740,88.00,4.89,4.89,18.40
12:04:40.743,92.00,4.89,4.89,18.20
12:04:40.746,88.00,4.90,4.90,18.40
12:04:40.750,88.00,4.90,4.90,18.20
12:04:40.753,88.00,4.89,4.89,18.30
12:04:40.756,88.00,4.89,4.89,18.30
12:04:40.760,88.00,4.90,4.90,18.30
12:04:40.763,88.00,4.89,4.89,18.30
12:04:40.767,88.00,4.89,4.89,18.20
12:04:40.770,88.00,4.89,4.89,18.40
12:04:40.773,88.00,4.90,4.90,18.40
12:04:40.777,88.00,4.89,4.89,18.40
12:04:40.780,88.00,4.89,4.89,18.40
12:04:40.798,88.00,4.90,4.90,18.30
12:04:40.801,88.00,4.90,4.90,18.20
12:04:40.805,88.00,4.89,4.89,18.40
12:04:40.808,88.00,4.90,4.90,18.20
12:04:40.811,88.00,4.90,4.90,18.40
12:04:40.815,88.00,4.89,4.89,18.30
12:04:40.818,88.00,4.89,4.89,18.20
12:04:40.822,88.00,4.90,4.90,18.30
12:04:40.825,88.00,4.89,4.89,18.00
12:04:40.828,88.00,4.89,4.89,18.10
12:04:40.832,88.00,4.90,4.90,18.20
12:04:40.835,92.00,4.90,4.90,18.60
12:04:40.839,88.00,4.89,4.89,18.10
12:04:40.842,88.00,4.89,4.89,18.40
12:04:40.845,88.00,4.90,4.90,18.30
12:04:40.849,92.00,4.89,4.89,18.50
12:04:40.852,88.00,4.89,4.89,18.20
12:04:40.855,88.00,4.90,4.90,18.20
12:04:40.859,88.00,4.90,4.90,18.40
12:04:40.862,88.00,4.89,4.89,18.20
12:04:40.866,88.00,4.89,4.89,18.20
12:04:40.869,88.00,4.90,4.90,18.30
12:04:40.872,88.00,4.89,4.89,18.40
12:04:40.876,88.00,4.89,4.89,18.40
12:04:40.879,88.00,4.90,4.90,18.50
12:04:40.883,88.00,4.90,4.90,18.40
12:04:40.886,88.00,4.89,4.89,18.40
12:04:40.889,88.00,4.89,4.89,18.30
12:04:40.893,88.00,4.90,4.90,18.30
12:04:40.896,88.00,4.89,4.89,18.30
12:04:40.899,88.00,4.89,4.89,18.00
12:04:40.903,88.00,4.89,4.89,18.30
12:04:40.906,88.00,4.90,4.90,18.20
12:04:40.910,88.00,4.89,4.89,18.30
12:04:40.913,88.00,4.89,4.89,18.20
12:04:40.916,92.00,4.90,4.90,18.50
12:04:40.920,88.00,4.89,4.89,18.30
12:04:40.923,88.00,4.89,4.89,18.30
12:04:40.927,88.00,4.89,4.89,18.30
12:04:40.930,88.00,4.90,4.90,18.40
12:04:40.933,88.00,4.89,4.89,18.40
12:04:40.937,88.00,4.89,4.89,18.40
12:04:40.940,88.00,4.88,4.89,18.40
12:04:40.943,92.00,4.88,4.88,18.70
12:04:40.947,88.00,4.89,4.89,18.40
12:04:40.950,88.00,4.90,4.90,18.60
12:04:40.954,86.00,4.90,4.90,17.70
12:04:40.957,88.00,4.89,4.89,18.20
12:04:40.960,88.00,4.89,4.89,18.60
12:04:40.964,88.00,4.90,4.90,18.10
12:04:40.980,88.00,4.90,4.90,18.30
12:04:40.984,88.00,4.89,4.89,18.20
12:04:40.987,88.00,4.89,4.89,18.20
12:04:40.991,88.00,4.90,4.90,18.40
12:04:40.994,88.00,4.89,4.89,18.20
12:04:40.997,88.00,4.89,4.89,18.30
12:04:41.001,88.00,4.90,4.90,18.30
12:04:41.004,88.00,4.90,4.90,18.20
12:04:41.008,88.00,4.89,4.89,18.00
12:04:41.011,92.00,4.89,4.89,18.30
12:04:41.014,88.00,4.90,4.90,18.20
12:04:41.018,88.00,4.89,4.89,18.30
12:04:41.021,88.00,4.89,4.89,18.40
12:04:41.024,88.00,4.90,4.90,18.90
12:04:41.028,88.00,4.90,4.90,18.30
12:04:41.031,88.00,4.89,4.89,18.30
12:04:41.035,88.00,4.89,4.89,18.30
12:04:41.038,92.00,4.90,4.90,18.50
12:04:41.041,88.00,4.89,4.89,18.20
12:04:41.045,88.00,4.89,4.89,18.40
